country,year,primary_energy_consumption,ai_prediction
Afghanistan,2016,29.884,33.03983
Afghanistan,2017,29.56,31.19512
Afghanistan,2018,33.908,31.78793
Albania,2016,39.827,35.387108
Albania,2017,36.863,40.214333
Albania,2018,42.032,36.340496
Algeria,2016,616.996,623.3415
Algeria,2017,623.795,641.0178
Algeria,2018,669.62,663.88025
Angola,2016,106.752,118.60401
Angola,2017,101.83,106.99272
Angola,2018,105.279,104.14308
Argentina,2016,992.424,996.8938
Argentina,2017,991.397,995.9521
Argentina,2018,984.346,991.1823
Armenia,2016,40.95,40.74289
Armenia,2017,43.641,41.01503
Armenia,2018,42.928,43.5007
Australia,2016,1606.766,1610.077
Australia,2017,1601.97,1605.0382
Australia,2018,1625.465,1621.1749
Austria,2016,407.984,401.53885
Austria,2017,417.204,412.14713
Austria,2018,408.313,414.78577
Azerbaijan,2016,170.489,174.91826
Azerbaijan,2017,167.315,174.45726
Azerbaijan,2018,171.55,173.26941
Bahrain,2016,203.153,205.80197
Bahrain,2017,209.008,210.39229
Bahrain,2018,211.637,209.60251
Bangladesh,2016,385.996,391.93823
Bangladesh,2017,403.533,406.21103
Bangladesh,2018,430.493,426.86435
Barbados,2016,6.971,7.187996
Barbados,2017,6.609,6.809299
Barbados,2018,7.019,6.665088
Belarus,2016,272.842,272.92865
Belarus,2017,277.869,276.67157
Belarus,2018,307.253,294.531
Belgium,2016,709.499,703.0612
Belgium,2017,716.052,722.177
Belgium,2018,714.219,710.99023
Benin,2016,27.779,24.602034
Benin,2017,29.458,30.120811
Benin,2018,32.679,31.601177
Bolivia,2016,92.096,93.67714
Bolivia,2017,90.779,93.666176
Bolivia,2018,93.881,94.15764
Bosnia and Herzegovina,2016,72.588,73.76179
Bosnia and Herzegovina,2017,72.034,73.68421
Bosnia and Herzegovina,2018,73.247,74.03632
Botswana,2016,25.793,23.621979
Botswana,2017,23.73,25.077826
Botswana,2018,23.527,25.162697
Brazil,2016,3432.166,3439.5408
Brazil,2017,3462.993,3459.804
Brazil,2018,3475.968,3482.0122
Bulgaria,2016,213.117,222.77594
Bulgaria,2017,218.174,211.83928
Bulgaria,2018,218.818,220.81331
Burkina Faso,2016,15.036,17.105034
Burkina Faso,2017,17.427,16.318682
Burkina Faso,2018,19.381,18.379488
Burundi,2016,2.273,2.476379
Burundi,2017,2.754,2.431831
Burundi,2018,3.342,2.8769054
Cambodia,2016,44.198,37.516922
Cambodia,2017,46.705,44.65876
Cambodia,2018,58.892,49.04519
Cameroon,2016,42.343,43.869865
Cameroon,2017,43.016,43.624874
Cameroon,2018,43.803,43.97374
Canada,2016,3979.017,3987.686
Canada,2017,4039.605,4027.8423
Canada,2018,4076.074,4079.1592
Cape Verde,2016,3.988,3.176482
Cape Verde,2017,4.231,3.7513895
Cape Verde,2018,4.282,3.6286688
Chad,2016,4.182,5.280027
Chad,2017,6.732,5.3030376
Chad,2018,7.133,7.1962633
Chile,2016,433.903,423.35355
Chile,2017,450.347,450.80524
Chile,2018,468.278,471.7021
China,2016,35278.277,35276.504
China,2017,36649.703,36659.848
China,2018,38415.93,38409.92
Colombia,2016,544.617,531.07367
Colombia,2017,549.702,557.60693
Colombia,2018,558.419,559.5869
Comoros,2016,0.887,1.2537194
Comoros,2017,1.137,1.5101552
Comoros,2018,1.237,1.5421928
Congo,2016,28.268,30.512495
Congo,2017,21.171,28.787252
Congo,2018,19.617,21.67269
Costa Rica,2016,60.836,60.913757
Costa Rica,2017,63.171,61.2687
Costa Rica,2018,64.535,65.893036
Cote d'Ivoire,2016,57.063,53.24537
Cote d'Ivoire,2017,56.87,59.21224
Cote d'Ivoire,2018,57.004,58.970287
Croatia,2016,94.731,93.22808
Croatia,2017,94.783,95.42801
Croatia,2018,98.16,96.25926
Cuba,2016,99.813,119.8655
Cuba,2017,106.089,102.41021
Cuba,2018,111.234,109.82562
Cyprus,2016,31.737,30.568216
Cyprus,2017,32.596,31.699945
Cyprus,2018,32.462,33.5403
Czechia,2016,464.374,464.91656
Czechia,2017,490.581,479.74576
Czechia,2018,489.023,486.92697
Democratic Republic of Congo,2016,33.68,37.88229
Democratic Republic of Congo,2017,36.642,35.83479
Democratic Republic of Congo,2018,38.716,38.496075
Denmark,2016,197.839,194.89822
Denmark,2017,198.832,199.48047
Denmark,2018,196.311,199.17421
Djibouti,2016,3.489,3.8684747
Djibouti,2017,3.158,3.4078803
Djibouti,2018,3.313,3.3638434
Dominica,2016,0.85,1.5560235
Dominica,2017,0.794,1.571869
Dominica,2018,0.819,1.571869
Dominican Republic,2016,103.54,103.618805
Dominican Republic,2017,102.122,104.81595
Dominican Republic,2018,112.906,106.388405
Ecuador,2016,187.404,192.76096
Ecuador,2017,194.656,194.0311
Ecuador,2018,205.892,202.45174
Egypt,2016,1025.583,1015.7122
Egypt,2017,1065.902,1061.5311
Egypt,2018,1067.152,1072.2345
El Salvador,2016,38.951,40.011585
El Salvador,2017,38.685,40.011585
El Salvador,2018,41.711,40.011585
Equatorial Guinea,2016,27.599,28.618402
Equatorial Guinea,2017,30.995,29.1686
Equatorial Guinea,2018,28.107,30.704727
Estonia,2016,70.763,70.81212
Estonia,2017,78.485,76.53671
Estonia,2018,77.874,81.51673
Eswatini,2016,6.019,5.1466427
Eswatini,2017,6.395,5.329954
Eswatini,2018,6.758,5.98699
Ethiopia,2016,84.997,79.649124
Ethiopia,2017,86.015,88.96593
Ethiopia,2018,91.524,93.495605
Finland,2016,334.083,327.92764
Finland,2017,327.216,333.8528
Finland,2018,333.841,326.79907
France,2016,2754.993,2758.6355
France,2017,2734.68,2744.1436
France,2018,2785.428,2776.226
Gabon,2016,20.321,21.342716
Gabon,2017,21.514,21.365488
Gabon,2018,19.279,21.619368
Gambia,2016,2.337,2.50968
Gambia,2017,2.377,2.63676
Gambia,2018,2.393,2.5897353
Georgia,2016,72.101,70.24455
Georgia,2017,71.688,74.034515
Georgia,2018,73.12,73.95809
Germany,2016,3842.884,3845.1545
Germany,2017,3892.673,3878.0962
Germany,2018,3795.127,3802.2327
Ghana,2016,83.195,83.938835
Ghana,2017,83.352,85.96803
Ghana,2018,96.078,89.524315
Greece,2016,306.97,310.02094
Greece,2017,322.177,313.98895
Greece,2018,324.05,324.91776
Guatemala,2016,87.282,85.245804
Guatemala,2017,94.633,92.318924
Guatemala,2018,97.3,97.29853
Guinea,2016,15.34,14.339879
Guinea,2017,15.438,16.384327
Guinea,2018,14.088,16.093487
Guinea-Bissau,2016,1.704,1.8922951
Guinea-Bissau,2017,1.379,1.7588336
Guinea-Bissau,2018,1.386,1.7837489
Haiti,2016,14.088,13.544721
Haiti,2017,13.984,13.786801
Haiti,2018,14.597,13.786801
